year,Category,Before_Tax_Income,Assets,Debt
1989,Less than 20,12.455448,15.513835,3.3812203
1992,Less than 20,12.092255,26.904987,3.8614469
1995,Less than 20,11.453857,24.874474,5.1748786
1998,Less than 20,12.912164,22.648252,6.76302
2001,Less than 20,14.853492,36.105804,7.6544309
2004,Less than 20,15.315405,23.046612,9.4897814
2007,Less than 20,15.233011,29.255533,10.739373
2010,Less than 20,15.569928,17.673731,11.782487
2013,Less than 20,15.602152,16.473652,11.860238
2016,Less than 20,16.159351,12.613969,11.007975
2019,Less than 20,16.289886,15.29,9.8500004
